#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 13 12 50 118  4.5  5.7 99.00 99.00 99.00 999 1031.7   4.0   4.1   0.1 99.0 99.00 
2016 04 13 13 00 119  4.9  5.8 99.00 99.00 99.00 999 1031.6   4.0   4.1   0.1 99.0 99.00 
2016 04 13 13 10 119  5.1  6.0 99.00 99.00 99.00 999 1031.5   3.9   4.1  -0.4 99.0 99.00 
2016 04 13 13 20 119  4.8  5.8 99.00 99.00 99.00 999 1031.5   3.9   4.1  -0.1 99.0 99.00 
2016 04 13 13 30 117  5.0  5.8 99.00 99.00 99.00 999 1031.4   3.9   4.1  -0.2 99.0 99.00 
2016 04 13 13 40 113  4.7  5.7  0.21 99.00  2.42 999 1031.3   3.9   4.0  -0.2 99.0 99.00 
2016 04 13 13 50 108  5.0  5.9 99.00 99.00 99.00 999 1031.3   3.8   4.0  -0.3 99.0 99.00 
2016 04 13 14 00 106  4.6  5.6 99.00 99.00 99.00 999 1031.5   3.8   4.0  -0.4 99.0 99.00 
2016 04 13 14 10 107  4.6  5.4 99.00 99.00 99.00 999 1031.4   3.8   4.0  -0.5 99.0 99.00 
2016 04 13 14 20  99  5.1  6.0 99.00 99.00 99.00 999 1031.5   3.8   4.0  -0.9 99.0 99.00 
2016 04 13 14 30  99  5.2  6.0 99.00 99.00 99.00 999 1031.3   3.8   4.0  -1.2 99.0 99.00 
2016 04 13 14 40  99  4.8  5.8  0.25  2.47  2.45 284 1031.4   3.8   4.0  -0.3 99.0 99.00 
2016 04 13 14 50  90  4.9  6.4 99.00 99.00 99.00 999 1031.1   3.7   4.0  -0.2 99.0 99.00 
2016 04 13 15 00  88  5.9  7.1 99.00 99.00 99.00 999 1031.1   3.6   4.0  -0.4 99.0 99.00 
2016 04 13 15 10  87  5.4  6.5 99.00 99.00 99.00 999 1031.1   3.6   4.0  -0.2 99.0 99.00 
2016 04 13 15 20  81  5.4  6.4 99.00 99.00 99.00 999 1031.0   3.6   4.0   0.0 99.0 99.00 
2016 04 13 15 30  76  5.7  6.6 99.00 99.00 99.00 999 1031.0   3.6   4.0  -0.1 99.0 99.00 
2016 04 13 15 40  71  5.5  6.3  0.28  2.74  2.58 104 1031.1   3.6   4.0   0.0 99.0 99.00 
2016 04 13 15 50  71  5.5  6.2 99.00 99.00 99.00 999 1031.1   3.6   4.0  -0.8 99.0 99.00 
2016 04 13 16 00  65  5.6  7.0 99.00 99.00 99.00 999 1031.0   3.7   4.0  -1.2 99.0 99.00 
